Price,Make,Model,Year,Variant,BodyType,EngineSize,Transmission,FuelType,Mileage,Number of Doors,Location,DatePosted,DateNow,CruiseControl,LeatherUpholstery,PushStart,AirConditioning,EntertainmentSystem,Airbag:Driver,Airbag:FrontPassenger,Airbag:Side,Airbag:Curtain,Airbag:Knee,ABS,Immobilizer,SecurityAlarm
"P2,050,000",Ford,Mustang,2015,GT,Coupe,5.0,Automatic,Gasoline,"18,000 km",2,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",02/26/2024,2024-09-19 19:59:33.525828,No,No,No,Automatic air-conditioning,NAVI-Ready Display Audio AM/FM/CD/MP3/USB/Aux,Yes,Yes,No,No,No,No,No,No
"P290,000",Mitsubishi,Mirage,2014,GLS  MT,Hatchback,1.2,Manual,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",01/26/2024,2024-09-19 19:59:33.907857,No,No,No,Automatic Air Conditioning,LCD Head Unit Audio System,Yes,Yes,No,No,No,No,Yes,Yes
"P1,130,000",Subaru,WRX,2018,2L AT Gasoline,Sedan,2,Automatic,Gasoline,"9,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",01/26/2024,2024-09-19 19:59:34.213018,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P660,000",Mitsubishi,Montero Sport,2014,GLS V 4x2 AT,SUV,2.5,Automatic,Diesel,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",01/12/2024,2024-09-19 19:59:34.512787,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,140,000",Ford,Everest,2018,3.2 Titanium 4x4 AT,SUV,3.2,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",01/12/2024,2024-09-19 19:59:35.502429,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P640,000",Mazda,CX-3,2017,2.0 AWD AT,Crossover,,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",12/17/2023,2024-09-19 19:59:36.592784,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,490,000",Toyota,Camry,2019,2.5 V A/T,Sedan,2.5,Automatic,Gasoline,"30,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",11/19/2023,2024-09-19 19:59:37.017682,Yes,No,Yes,3-Zone Automatic Climate Control,"7-inch TFT display with CD, DVD, MP3, and FLAC via High Resolution Audio Quality",Yes,Yes,Yes,Yes,Yes,,Yes,Yes
"P1,780,000",Hyundai,Grand Starex,2020,2.5L CRDI GLS FL (DSL-Swivel) AT Diesel,Van,2.5,Automatic,Diesel,"60,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/17/2023,2024-09-19 19:59:37.624322,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P560,000",Subaru,Forester,2014,XT AWD,Crossover,2.0,Automatic,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/25/2023,2024-09-19 19:59:38.240675,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,690,000",BMW,X1,2018,2.0d XDrive A/T,Crossover,2.5,Automatic,Diesel,"20,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",02/26/2024,2024-09-19 19:59:38.742602,No,No,No,One Zone Automatic Air Conditioning,Radio BMW Business CD with AUX In.,Yes,Yes,Yes,Yes,No,,Yes,Yes
"P2,590,000",Mercedes-Benz,E-Class,2018,E220 Sedan 2L AT Diesel,Sedan,2,Automatic,Diesel,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",02/26/2024,2024-09-19 19:59:40.092919,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,090,000",Ford,Explorer,2016,EcoBoost AT (4X4),SUV,3.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",02/26/2024,2024-09-19 19:59:40.789600,No,No,No,Automatic air-conditioning,NAVI-Ready Display Audio AM/FM/CD/MP3/USB/Aux,Yes,Yes,No,No,No,No,No,No
"P710,000",Subaru,Forester,2018,2.0i-L,Crossover,2.0,CVT,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",02/27/2024,2024-09-19 19:59:41.389686,Yes,No,No,Dual Zone Automatic AC with dust filter,6.2-inch Audio and Multi-Information Touchscreen Display via 4 speakers,Yes,Yes,Yes,Yes,No,,Yes,No
"P630,000",Honda,Jazz,2018,CVT i-VTEC,Hatchback,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",03/01/2024,2024-09-19 19:59:41.972805,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P740,000",Hyundai,Venue,2022,1.6L AT Gasoline,SUV,1.6,Automatic,Gasoline,"20,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",03/10/2024,2024-09-19 19:59:42.274589,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P705,000",Mitsubishi,Xpander,2019,1.5 GLS AT,MPV,1.5,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",03/21/2024,2024-09-19 19:59:42.570099,Yes,No,Yes,Manual Air-Conditioning with rear vents,"7-inch touchscreen headunit with 6 speakers, 2 tweeters, and GPS Navigation",Yes,Yes,No,No,No,,Yes,No
"P710,000",Toyota,Rush,2019,1.5 G AT,MPV,1.5,Automatic,Gasoline,"90,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",03/30/2024,2024-09-19 19:59:42.833111,No,No,No,Automatic,Navi MP3 AM/FM,Yes,Yes,No,No,No,No,No,No
"P680,000",Toyota,Rush,2018,1.5 E AT,MPV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",03/30/2024,2024-09-19 19:59:43.658861,No,No,Yes,Auto A/C,"Touch Screen 7"" Display Audio with CD and MP3 via 6 speakers",Yes,Yes,Yes,Yes,No,,Yes,Yes
"P760,000",Toyota,Fortuner,2015,G Gas AT,SUV,2.7,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",04/08/2024,2024-09-19 19:59:43.912813,No,No,No,Manual Airconditioning,In Dash AM/FM/CD Audio System,Yes,Yes,No,No,No,No,No,No
"P630,000",Mazda,CX-5,2015,2.0 SkyActiv A/T,Crossover,2,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",04/11/2024,2024-09-19 19:59:44.228919,No,No,No,Dual Zone Climate Control,n/a,No,No,No,No,No,,No,Yes
"P1,130,000",Honda,Civic,2022,RS Turbo CVT Honda SENSING,Sedan,1.5,CVT,Gasoline,"13,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",04/18/2024,2024-09-19 19:59:44.534757,Yes,Yes,Yes,Dual Zone Automatic Air-Conditioning,9-inch Touchscreen Audio,Yes,Yes,Yes,Yes,No,,Yes,Yes
"P670,000",Suzuki,Jimny,2017,JLX 1.3L AT Gasoline (4X4),SUV,1.3,Automatic,Gasoline,"50,000 km",3,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/04/2024,2024-09-19 19:59:44.886774,No,No,No,Manual Air Conditioning,In Dash AM/FM/CD Audio System,No,No,No,No,No,No,No,No
"P740,000",Chevrolet,Trailblazer,2018,2.8 4x2 LT AT,SUV,2.8,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/10/2024,2024-09-19 19:59:45.186283,No,No,No,Manual Controls,7-inch touchscreen with Chevrolet MyLink Infotainment System with Apple CarPlay and SIRI Eyes Free,Yes,Yes,No,No,No,,Yes,Yes
"P1,020,000",Mitsubishi,Montero Sport,2016,GT 2.4 4x4 AT,SUV,2.4,Automatic,Diesel,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/12/2024,2024-09-19 19:59:45.524322,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P905,000",Ford,Territory,2022,1.5 Titanium Plus AT,Crossover,1.5,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/16/2024,2024-09-19 19:59:45.919510,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P710,000",Honda,Jazz,2018,VX AT,Hatchback,1.5,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/20/2024,2024-09-19 19:59:46.267163,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P990,000",Ford,Everest,2018,2.2 Titanium Plus 4x2 AT,SUV,2.2,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/20/2024,2024-09-19 19:59:46.595875,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,140,000",Subaru,BRZ,2014,2.0L MT Gasoline,Coupe,2.0,Manual,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/21/2024,2024-09-19 19:59:46.955920,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P325,000",Suzuki,Celerio,2016,1.0L AT Gasoline,Hatchback,1.0,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/21/2024,2024-09-19 19:59:47.317782,No,No,No,Manual Air Con,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,No,Yes,Yes
"P485,000",Chevrolet,Trax,2017,LS AT,Crossover,1.4,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/26/2024,2024-09-19 19:59:47.649575,No,No,No,"Air conditioning, single-zone manual","Audio system feature, 6-speaker system",Yes,Yes,Yes,No,Yes,Yes,No,No
"P895,000",Jeep,Renegade,2017,1.4L AT Gasoline,SUV,1.4,Automatic,Gasoline,"20,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/28/2024,2024-09-19 19:59:47.958138,Yes,Yes,No,n/a,With Built in Navigation,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
"P828,000",Toyota,Avanza,2022,1.3 E CVT,MPV,1.3,CVT,Gasoline,"37,000 km",5,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",09/03/2024,2024-09-19 19:59:48.349899,No,No,No,Manual (Digital COntrol),8-inch Audio Display with 4 speakers,Yes,Yes,No,No,No,,Yes,Yes
"P1,050,000",Toyota,Veloz,2023,1.5 V CVT,SUV,1.5,CVT,Gasoline,"7,053 km",5,"Paranaque City, Metro Manila, NCR",09/03/2024,2024-09-19 19:59:48.638968,No,Yes,Yes,Automatic Air-Conditioning,9-inch Audio Display,Yes,Yes,Yes,Yes,No,,Yes,Yes
"P1,010,000",Toyota,Fortuner,2016,2.4L G AT Diesel,SUV,2.4,Automatic,Diesel,"70,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",05/31/2024,2024-09-19 19:59:49.003716,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P620,000",Honda,Jazz,2017,VX AT,Hatchback,1.5,Automatic,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",06/04/2024,2024-09-19 19:59:49.367100,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P710,000",Suzuki,Jimny,2018,4x4 JLX AT,SUV,,Automatic,Gasoline,"40,000 km",3,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",06/14/2024,2024-09-19 19:59:49.752642,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P580,000",Kia,Sorento,2015,2.2L AT Diesel,SUV,2.2,Automatic,Diesel,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",06/20/2024,2024-09-19 19:59:51.151576,No,No,No,Manual Air Con,In Dash AM/FM/CD Audio System,Yes,Yes,No,No,No,Yes,Yes,Yes
"P335,000",Mitsubishi,Mirage G4,2014,GLX AT,Sedan,1.2,Automatic,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",06/23/2024,2024-09-19 19:59:52.332827,No,No,No,Manual Air-conditioning,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,Yes,No,No
"P1,005,000",Toyota,Fortuner,2016,2.4L G AT Diesel,SUV,2.4,Automatic,Diesel,"80,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",06/25/2024,2024-09-19 19:59:53.357222,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P910,000",Toyota,Fortuner,2016,2.7L AT Gasoline,SUV,2.7,Automatic,Gasoline,"60,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",06/25/2024,2024-09-19 19:59:53.655151,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P440,000",Toyota,Wigo,2019,1.0 G AT,Hatchback,1.0,Automatic,Gasoline,"20,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/06/2024,2024-09-19 19:59:54.722565,No,No,No,Manual,Navi MP3 Am/Fm,Yes,Yes,No,No,No,No,No,No
"P930,000",Isuzu,mu-X,2019,RZ4E LS-A 4x2 AT,SUV,1.9,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/07/2024,2024-09-19 19:59:55.021940,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P870,000",Isuzu,mu-X,2017,3.0 LS-A AT,SUV,3,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/15/2024,2024-09-19 19:59:55.274358,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P590,000",Honda,Mobilio,2017,V AT,AUV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/21/2024,2024-09-19 19:59:55.600453,No,No,No,powerful AC with manual controls,"2-DIN music system with CD, MP3, USB, iPod, AUX-in, Bluetooth and speakers",Yes,Yes,No,No,No,Yes,Yes,Yes
"P810,000",Hyundai,Tucson,2019,2.0 CRDi GL 4x2 AT,Crossover,2,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/21/2024,2024-09-19 19:59:56.002100,No,No,No,Manual Air-Conditioning,3.8-inch floating type audio display via 6 speakers,Yes,Yes,No,No,No,,Yes,Yes
"P270,000",Suzuki,APV,2008,GLX MT,MPV,1.6,Manual,Gasoline,"90,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/26/2024,2024-09-19 19:59:56.350903,No,No,No,Manual Air-conditioning,Integrated AM/FM/CD/MP3/AUX/USB,No,No,No,No,No,Yes,Yes,Yes
"P930,000",Nissan,NV350 Urvan,2021,2.5L MT Diesel,Van,2.5,Manual,Diesel,"30,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/30/2024,2024-09-19 19:59:56.665160,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P790,000",Kia,Sportage,2018,CRDi,Crossover,2,Automatic,Diesel,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/30/2024,2024-09-19 19:59:57.030898,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P690,000",Ford,Everest,2016,Ambiente (4X2) AT,SUV,2.2,Automatic,Diesel,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",07/31/2024,2024-09-19 19:59:57.385754,No,No,No,Manual Air Con,In Dash CD/AM/FM Audio System,Yes,Yes,No,No,No,Yes,Yes,Yes
"P1,188,000",Toyota,Hiace,2022,Commuter 3.0 M/T,Van,3,Manual,Diesel,"49,000 km",5,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",08/21/2024,2024-09-19 19:59:57.698840,No,No,No,Dual Manual Controls,2-DIN CD/Tuner/MP3 with USB with Remote Control via 2 Speakers,Yes,Yes,No,No,No,No,No,No
"P1,238,000",Nissan,NV350 Urvan,2023,2.5L MT Diesel,Van,2.5,Manual,Diesel,"31,000 km",,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",07/04/2024,2024-09-19 19:59:58.072234,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P2,100,000",Nissan,Terra,2024,2.5 VL AT 4x4 Aspen Pearl White,SUV,2.5,Automatic,Diesel,"10,470 km",5,"San Lorenzo, Guimaras, Western Visayas",08/29/2024,2024-09-19 19:59:58.324745,Yes,Yes,Yes,Dual-Zone Automatic Climate Control with Rear Cooler,Nissan's 9-inch Advanced Touchscreen Display Audio paired to an 8-speaker Bose Premium Sound System.,Yes,Yes,Yes,Yes,No,,Yes,Yes
"P630,000",Chevrolet,Trailblazer,2017,LTX 2.8 4X2 AT,SUV,2.8,Automatic,Diesel,"54,000 km",5,"Baguio City, Benguet, CAR",08/28/2024,2024-09-19 19:59:58.618066,No,No,No,Manual Controls,7-inch touchscreen with Chevrolet MyLink Infotainment System with Apple CarPlay and SIRI Eyes Free,Yes,Yes,No,No,No,,Yes,Yes
"P589,000",Toyota,LiteAce,2023,1.5L MT Gasoline,Van,1.5,Manual,Gasoline,"5,000 km",,23 Santalia Street Ce Sastro Subdivision Pasig City,06/06/2024,2024-09-19 19:59:59.576596,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,700,000",Audi,Q7,2019,3.0 TDI,SUV,3,Automatic,Diesel,"101,000 km",5,"Angeles City, Pampanga, Central Luzon",05/08/2024,2024-09-19 19:59:59.872294,Yes,Yes,Yes,4-zone Automatic Climate Control,8.3-inch Display with Audi Sound System,Yes,Yes,Yes,Yes,No,,Yes,Yes
"P1,158,000",Toyota,Innova,2022,E 2.8L AT Diesel,SUV,2.8,Automatic,Diesel,"10,000 km",,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",04/13/2023,2024-09-19 20:00:00.186645,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P578,000",Mitsubishi,Mirage G4,2022,GLX AT,Sedan,1.2,Automatic,Gasoline,"4,000 km",4,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",10/08/2023,2024-09-19 20:00:01.386447,No,No,No,Manual Air Conditioning,7-inch touchscreen infotainment system,Yes,Yes,No,No,No,No,No,No
"P578,000",Mitsubishi,Mirage G4,2022,GLX AT,Sedan,1.2,Automatic,Gasoline,"4,000 km",4,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",10/08/2023,2024-09-19 20:00:01.856981,No,No,No,Manual Air Conditioning,7-inch touchscreen infotainment system,Yes,Yes,No,No,No,No,No,No
"P918,000",Nissan,Livina,2023,VL 1.5L AT,MPV,1.5,Automatic,Gasoline,"22,000 km",5,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",08/16/2024,2024-09-19 20:00:02.207688,No,Yes,Yes,Dial Type manual with Rear Cooler,7-inch infotainment system with 6-speakers,Yes,Yes,No,No,No,Yes,Yes,Yes
"P468,000",Mitsubishi,Mirage G4,2019,GLS 1.2L A/T,Sedan,1.2,Automatic,Gasoline,"33,000 km",4,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",04/17/2024,2024-09-19 20:00:02.532368,No,No,Yes,Single Zone Automatic Climate Control,7-inch infotainment system,Yes,Yes,No,No,No,Yes,Yes,No
"P778,000",Mitsubishi,L300,2023,FB Dual A/C Euro 4 M/T,Commercial Vehicle,2.2,Manual,Diesel,"14,000 km",3,"Aguinaldo Highway Bayan Luna IV Imus, Cavite",08/15/2024,2024-09-19 20:00:02.881510,No,No,No,Dual Air Conditioning w/ Rear Manual Cooling Controls,Single CD Player with Tuner and Two Speakers,No,No,No,No,No,No,No,No
"P880,000",Chevrolet,Trailblazer,2018,2.8 4x2 LT AT,SUV,2.8,Automatic,Diesel,"11,300 km",5,"Baguio City, Benguet, CAR",08/12/2024,2024-09-19 20:00:04.090602,No,No,No,Manual Controls,7-inch touchscreen with Chevrolet MyLink Infotainment System with Apple CarPlay and SIRI Eyes Free,Yes,Yes,No,No,No,,Yes,Yes
"P7,500,000",Land Rover,Range Rover Sport,2021,Hybrid,SUV,2,Automatic,Gasoline,"28,000 km",5,"Makati City, Metro Manila, NCR",08/12/2024,2024-09-19 20:00:04.365490,Yes,Yes,No,Three Zone Climate Control,"8"" Touchscreen with Bluetooth sharing, Navigation and Voice Control",Yes,Yes,Yes,Yes,Yes,,Yes,Yes
"P113,760",Lonking,Forklift,2014,LG30DT,Commercial Vehicle,,Manual,Diesel,"3,747 km",,"Quezon City, Metro Manila, NCR",07/31/2024,2024-09-19 20:00:04.678727,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P970,000",Ford,Ranger,2021,2.2 XLT 4x2 AT,Pickup Truck,2.2,Automatic,Diesel,"46,000 km",4,"Biñan City, Laguna, CALABARZON",07/28/2024,2024-09-19 20:00:04.950633,Yes,No,No,Single-zone Manual,8-inch LCD Touchscreen via 6 speakers,Yes,Yes,No,No,No,,No,Yes
"P645,000",Toyota,Vios,2022,1.3L XLE CVT Gasoline,Sedan,1.3,CVT,Gasoline,"17,000 km",4,"Pasig City, Metro Manila, NCR",07/11/2024,2024-09-19 20:00:05.249836,No,No,No,"Manual Cooler, Dial Type Control",6.75in Display Audio via 6-speakers,Yes,Yes,Yes,No,No,,No,Yes
"P410,000",Kia,Sportage,2012,2.0 4X AT,SUV,2,Automatic,Gasoline,"70,000 km",5,"Manila, Metro Manila, NCR",07/05/2024,2024-09-19 20:00:06.571234,No,No,No,Multi-Zone A/C,"Premium Sound System,Smart Device Integration,MP3 Player entertainment system",Yes,Yes,Yes,No,No,No,No,No
"P1,250,000",Mitsubishi,Strada,2021,Athlete 4x4 AT,Pickup Truck,2.4,Automatic,Diesel,"30,000 km",4,"Tacloban City, Leyte, Eastern Visayas",07/01/2024,2024-09-19 20:00:06.963763,Yes,Yes,Yes,Dual Zone Automatic Climate Control,7-inch Touchscreen with MirrorLink and 6 speakers,Yes,Yes,Yes,Yes,Yes,,Yes,Yes
"P410,000",Toyota,Vios,2019,1.3 J MT,Sedan,1.3,Manual,Gasoline,"8,745 km",4,"Taytay, Rizal, CALABARZON",07/01/2024,2024-09-19 20:00:07.360465,No,No,No,"Manual Cooler, Dial Type Control",2 DIN with CD and MP3 via 2 Speakers,Yes,Yes,No,No,Yes,,No,No
"P600,000",MG,ZS,2022,1.5 Style MT,Crossover,1.5,Manual,Gasoline,"21,455 km",5,"Pasig City, Metro Manila, NCR",06/27/2024,2024-09-19 20:00:07.714799,Yes,No,No,Manual Temperature Control,Smart Radio via 4 speakers,Yes,Yes,No,No,No,,Yes,Yes
"P2,700,000",Mercedes-Benz,CLA-Class,2023,Progressive AT,Coupe,1.3,Automatic,Gasoline,"3,500 km",4,"Makati City, Metro Manila, NCR",06/25/2024,2024-09-19 20:00:08.031529,Yes,Yes,Yes,Manual Air-Conditioning,High Resolution 7-inch Multimedia system with radio and dual tuner/AUX/USB/iPhone/mp3/SD card/CD/Bluetooth via 6 speakers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"P1,050,000",Toyota,Fortuner,2018,G 4x2 AT,SUV,2.4,Automatic,Diesel,"92,500 km",5,"Makati City, Metro Manila, NCR",06/25/2024,2024-09-19 20:00:08.461033,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,190,000",Ford,Everest,2019,Titanium 4x2 2.0 AT,SUV,2,Automatic,Diesel,"80,000 km",5,"Quezon City, Metro Manila, NCR",06/21/2024,2024-09-19 20:00:08.767690,Yes,Yes,Yes,Dual-Zone Electronic Automatic Temperature Control,"12"" Colored Portrait Touchscreen with 8 speakers",Yes,Yes,Yes,Yes,Yes,,Yes,Yes
"P2,190,000",Subaru,BRZ,2023,2.4 Eyesight AT,Coupe,2.4,Automatic,Gasoline,"1,950 km",2,"Naga City, Camarines Sur, Bicol Region",06/19/2024,2024-09-19 20:00:09.086139,Yes,Yes,Yes,Automatic Air-Conditioning,8-inch infotainment system,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
"P425,000",Kia,Bongo,2020,3,Commercial Vehicle,2.9,Manual,Diesel,"142,000 km",2,"Panabo City, Davao Del Norte, Davao Region",06/18/2024,2024-09-19 20:00:09.525157,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P1,250,000",Ford,Explorer,2017,3.5 S 4x4 V6 A/T,SUV,3.5,Automatic,Gasoline,"44,591 km",5,"Taguig City, Metro Manila, NCR",05/27/2024,2024-09-19 20:00:10.337333,No,No,No,"Front, Dual Zone; Rear, Manual",SYNC infotainment audio system remains powered by the Sony system,Yes,Yes,Yes,No,Yes,Yes,No,No
"P495,000",Suzuki,Dzire,2023,1.2 GL+ AGS AT,Sedan,1.2,Automatic,Gasoline,"6,000 km",4,"Quezon City, Metro Manila, NCR",06/07/2024,2024-09-19 20:00:10.667448,No,No,No,Aircon system with rear air vent,7-inch Multimedia Audio via front and rear speakers,Yes,Yes,No,No,No,,Yes,Yes
"P629,000",Toyota,Avanza,2019,G MT,MPV,1.5,Manual,Gasoline,"52,000 km",5,23 Santalia Street Ce Sastro Subdivision Pasig City,06/06/2024,2024-09-19 20:00:11.660534,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P799,000",Nissan,Navara,2019,EL MT,Pickup Truck,,Manual,Diesel,"56,000 km",4,23 Santalia Street Ce Sastro Subdivision Pasig City,06/06/2024,2024-09-19 20:00:12.111889,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
