Price,Make,Model,Year,Variant,BodyType,EngineSize,Transmission,FuelType,Mileage,Number of Doors,Location,DatePosted,DateNow,CruiseControl,LeatherUpholstery,PushStart,AirConditioning,EntertainmentSystem,Airbag:Driver,Airbag:FrontPassenger,Airbag:Side,Airbag:Curtain,Airbag:Knee,ABS,Immobilizer,SecurityAlarm
"P430,000",Suzuki,Ertiga,2015,GLX AT,MPV,1.4,Automatic,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:47.834924,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P760,000",Honda,HR-V,2019,1.8L AT Gasoline,SUV,1.8,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:48.238857,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P520,000",Nissan,Juke,2017,AT Gasoline,Crossover,1.6,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:48.563019,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P435,000",Toyota,Wigo,2019,1.0 G AT,Hatchback,1.0,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:48.894866,No,No,No,Manual,Navi MP3 Am/Fm,Yes,Yes,No,No,No,No,No,No
"P380,000",Hyundai,Reina,2019,1.4 GL AT,Sedan,1.4,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:49.151090,No,No,No,Manual Air-Conditioning,1-DIN AM/FM Radio,Yes,Yes,No,No,No,,No,No
"P720,000",Honda,Civic,2016,1.8E CVT,Sedan,1.8,CVT,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/24/2024,2024-09-19 19:58:49.951726,No,No,No,n/a,n/a,Yes,Yes,No,No,No,No,No,No
"P630,000",Mitsubishi,Xpander,2019,GLX Plus AT,MPV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/15/2024,2024-09-19 19:58:50.265745,Yes,No,No,Manual Air-Conditioning with rear vents,7-inch touchscreen headunit with 4 speakers and GPS Navigation,Yes,Yes,No,No,No,,Yes,No
"P630,000",Honda,BR-V,2017,1.5 S CVT,Crossover,1.5,CVT,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:50.936146,No,No,No,Manual Air-Conditioning with Rear Independent Controls,7-inch Touch Screen Display Audio,Yes,Yes,No,No,No,,Yes,Yes
"P430,000",Suzuki,Ertiga,2015,GLX AT,MPV,1.4,Automatic,Gasoline,"70,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:51.335613,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P760,000",Honda,HR-V,2019,1.8L AT Gasoline,SUV,1.8,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/22/2024,2024-09-19 19:58:51.764296,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P520,000",Nissan,Juke,2017,AT Gasoline,Crossover,1.6,Automatic,Gasoline,"60,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:52.098334,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P435,000",Toyota,Wigo,2019,1.0 G AT,Hatchback,1.0,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:52.595716,No,No,No,Manual,Navi MP3 Am/Fm,Yes,Yes,No,No,No,No,No,No
"P380,000",Hyundai,Reina,2019,1.4 GL AT,Sedan,1.4,Automatic,Gasoline,"40,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/23/2024,2024-09-19 19:58:53.949433,No,No,No,Manual Air-Conditioning,1-DIN AM/FM Radio,Yes,Yes,No,No,No,,No,No
"P720,000",Honda,Civic,2016,1.8E CVT,Sedan,1.8,CVT,Gasoline,"60,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/24/2024,2024-09-19 19:58:54.246483,No,No,No,n/a,n/a,Yes,Yes,No,No,No,No,No,No
"P630,000",Mitsubishi,Xpander,2019,GLX Plus AT,MPV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/15/2024,2024-09-19 19:58:54.551391,Yes,No,No,Manual Air-Conditioning with rear vents,7-inch touchscreen headunit with 4 speakers and GPS Navigation,Yes,Yes,No,No,No,,Yes,No
"P640,000",Honda,BR-V,2017,1.5 V AT,Crossover,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/15/2024,2024-09-19 19:58:55.502789,No,Yes,Yes,Automatic Climate Control,n/a,Yes,Yes,No,No,No,,Yes,Yes
"P630,000",Suzuki,Ertiga,2020,1.5 GL AT,MPV,1.5,Automatic,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/15/2024,2024-09-19 19:58:55.868420,No,No,No,Manual Air Conditioning,n/a,Yes,Yes,No,No,No,,Yes,Yes
"P570,000",Honda,Accord,2014,2.4 S AT,Sedan,2.4,Automatic,Gasoline,"30,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/14/2024,2024-09-19 19:58:56.272090,No,Yes,Yes,Dual Zone Full Automatic Air Conditioning,"8” Touchscreen with Bluetooth, USB, AUX-In and 6 Speakers",Yes,Yes,Yes,No,No,,Yes,Yes
"P645,000",Suzuki,Ertiga,2020,1.5 GL AT,MPV,1.5,Automatic,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/14/2024,2024-09-19 19:58:56.649962,No,No,No,Manual Air Conditioning,n/a,Yes,Yes,No,No,No,,Yes,Yes
"P450,000",Suzuki,Ertiga,2018,GA M/T,MPV,1.4,Manual,Gasoline,"50,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/14/2024,2024-09-19 19:58:57.469880,No,No,No,n/a,n/a,Yes,Yes,No,No,Yes,Yes,Yes,No
"P465,000",Toyota,Wigo,2021,1.0 G AT,Hatchback,1,Automatic,Gasoline,"40,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/24/2024,2024-09-19 19:58:57.790749,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P480,000",Nissan,Juke,2016,1.6 CVT,SUV,,CVT,Gasoline,"60,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/24/2024,2024-09-19 19:58:58.074408,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P470,000",Nissan,Juke,2016,1.6 CVT,SUV,,CVT,Gasoline,"60,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/24/2024,2024-09-19 19:58:58.428777,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P620,000",Mitsubishi,Mirage G4,2024,1.2L AT Gasoline,Sedan,1.2,Automatic,Gasoline,700 km,,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/25/2024,2024-09-19 19:58:58.720411,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P485,000",Suzuki,Ertiga,2018,GL MT,MPV,1.4,Manual,Gasoline,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/25/2024,2024-09-19 19:58:59.020802,No,No,No,Manual Airconditioning,NAVI-Ready Display Audio AM/FM/CD/MP3/USB/Aux,Yes,Yes,No,No,No,No,No,No
"P845,000",Ford,Everest,2018,2.2 Trend AT,SUV,2.2,Automatic,Diesel,"40,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/26/2024,2024-09-19 19:59:00.350697,Yes,Yes,No,Dual Zone Automatic Temperature Control (DEATC),"Ford SYNC 3 8-inch LCD AM/FM Radio, USB, iPod, CD, MP3, Aux-in via 10 speakers",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
"P390,000",Nissan,Teana,2014,250X V6 AT,Sedan,2.5,Automatic,Gasoline,"50,000 km",4,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/26/2024,2024-09-19 19:59:00.719564,No,No,No,Automatic Cimate Control,Integrated AM/FM/CD/AUX/USB,Yes,Yes,No,No,No,No,Yes,Yes
"P720,000",Honda,Accord,2017,2.4L AT Gasoline,Sedan,2.4,Automatic,Gasoline,"50,000 km",,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/27/2024,2024-09-19 19:59:01.100056,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P620,000",MG,RX5,2019,1.5 Style AT,Crossover,1.5,Automatic,Gasoline,"53,000 km",5,"Lipa City, Batangas, CALABARZON",09/13/2024,2024-09-19 19:59:01.531623,Yes,Yes,Yes,Electronic Temperature Control,"8-inch touchscreen with CD, MP3, and Apple CarPlay compatibility via 6 speakers",Yes,Yes,No,No,No,,Yes,Yes
"P290,000",Mitsubishi,Adventure,2008,GLS Sport Diesel MT,AUV,2.5,Manual,Diesel,"120,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/13/2024,2024-09-19 19:59:01.920895,No,No,No,Manual Air-Conditioning,Integrated AM/FM/CD/MP3,No,No,No,No,No,No,Yes,Yes
"P290,000",Mitsubishi,Adventure,2008,GLS Sport Diesel MT,AUV,2.5,Manual,Diesel,"120,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/13/2024,2024-09-19 19:59:02.218582,No,No,No,Manual Air-Conditioning,Integrated AM/FM/CD/MP3,No,No,No,No,No,No,Yes,Yes
"P525,000",Suzuki,Ertiga,2020,GL MT,MPV,1.4,Manual,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/13/2024,2024-09-19 19:59:02.517185,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
"P640,000",Toyota,Avanza,2020,G 1.5 A/T,MPV,1.5,Automatic,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",09/13/2024,2024-09-19 19:59:02.904617,No,No,No,Manual Air Conditioning,n/a,Yes,Yes,No,No,No,,Yes,Yes
"P680,000",Suzuki,Vitara,2019,GLX AT,Crossover,1.6,Automatic,Gasoline,"30,000 km",5,"Block 1 lot 2 Dona Cristeta Subd. Pamplona Uno, Alabang Zapote Road, Las Pinas City",08/28/2024,2024-09-19 19:59:03.206357,No,No,No,n/a,n/a,No,No,No,No,No,No,No,No
