JobTitle,Company,Location,is_remote,Salary,Benefits,listing_date,date_parsed,URL
REPORTS ANALYST | Fixed Dayshift and Weekends Off!,Qwrk,Central Visayas,N,,"['Fixed Weekends Off', 'Day 1 HMO', 'Fixed Dayshift']",2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78339657?type=standout&ref=search-standalone
AI/ML Tech Lead,Samsung Electronics Philippines Corporation,Taguig City,N,,"['Latest Technologies', 'HMO with Dependents', 'Incentives & Bonuses']",6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78194112?type=standout&ref=search-standalone
Data Analyst: Start ASAP & HMO for 2 dependents.,Acquire BPO,Mandaluyong City,Y,,"['HMO for you and 2 dependents for free upon hire 🙂', 'Start ASAP', 'Weekends Off']",3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78284830?type=standout&ref=search-standalone
Reports Analyst(Business Intelligence) (Eastwood),Concentrix Philippines,Quezon City,N,,,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78317099?type=standard&ref=search-standalone
IT Data Engineer (Associate to Principal),"INFOR PSSC, INC.",Metro Manila,Y,,"['Hybrid work model for provincial and non-provincial hires', 'Attractive remuneration and benefits package (Retirement Savings)', 'Thriving and engaging working environment for learning']",10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78114328?type=standout&ref=search-standalone
Data Analyst Trainee (3-month project) - Work From Home,ICXEED PHILIPPINES INC.,Manila City,Y,,"['Work from anywhere', 'Culture of innovation and engagement', 'Development in next-gen skills to future-proof your career']",5d ago,2024-08-25,https://www.jobstreet.com.ph/job/78241232?type=standout&ref=search-standalone
Data Visualization Manager,Globe Telecom,Santa Ana,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78289029?type=standard&ref=search-standalone
IT Senior AI Business Analyst,Home Credit Philippines,Bonifacio Global City,N,,,16d ago,2024-08-25,https://www.jobstreet.com.ph/job/77990000?type=standout&ref=search-standalone
Internal Audit Advisor with Data Analytics Experience,Cardinal Health International Philippines Inc.,Taguig City,N,,,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78335223?type=standard&ref=search-standalone
Senior Data Engineer (PySpark),Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78312289?type=standard&ref=search-standalone
Data Engineer (PySpark),Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78312288?type=standard&ref=search-standalone
"Consultant, Workday Reporting (Prism Analytics or Core HCM)",Northern Operating Services Asia Inc.,Taguig City,N,,"['Fexible and collaborative work culture', 'Movement within the organization is encouraged, senior leaders are accessible', 'Committed to assisting the communities we serve']",13d ago,2024-08-25,https://www.jobstreet.com.ph/job/78025312?type=standout&ref=search-standalone
Data Analyst with SQL Bakcground,"IQVIA SOLUTIONS OPERATIONS CENTER PHILIPPINES, INC.",Taguig City,N,,,4d ago,2024-08-25,https://www.jobstreet.com.ph/job/78278481?type=standout&ref=search-standalone
TA Analytics Specialist (Term Hire) - PH,Deloitte Consulting Ltd.,Manila City,N,,,10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78125666?type=standout&ref=search-standalone
BI Developer (Reports Developer),OpenMed Inc.,Makati City,Y,"₱130,000 – ₱150,000 per month","['Hybrid work set up (equipment provided)', 'Direct hire with HMO plus 2 free dependents', 'Growth Opportunities as we continuously expand in PH, and US, LATAM!']",3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78309575?type=standout&ref=search-standalone
Data and Insights Analyst (Work From Home),Satellite Office,Taguig City,Y,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78298665?type=standard&ref=search-standalone
Data Architect,Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78311515?type=standard&ref=search-standalone
"Senior Data Engineer (Python , Java) | Manila (Hybrid)",QBE GROUP SHARED SERVICES LIMITED - PHILIPPINE BRANCH,Metro Manila,Y,,['Hybrid Work Set-up'],9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78141843?type=standout&ref=search-standalone
Database Officer,"Universal Hotels and Resorts, Inc.",Cebu City,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78308022?type=standout&ref=search-standalone
Market Research Analyst (Lead Generation) | WFH,Acquire BPO,Eastwood,Y,,"['Remote opportunity', 'Dayshift', 'New LOB']",3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78301781?type=standout&ref=search-standalone
Data Analyst,"Aarki,LLC",Makati City,Y,"₱30,000 – ₱45,000 per month","['Competitive salary', 'Unlimited Time-off', 'Hybrid Work']",10d ago,2024-08-25,https://www.jobstreet.com.ph/job/78126867?type=standout&ref=search-standalone
Urgent! Data Engineer - Hybrid(DayShift),YONDU INC.,Metro Manila,Y,,,9d ago,2024-08-25,https://www.jobstreet.com.ph/job/78148588?type=standard&ref=search-standalone
Data and Insights Analyst (Work From Home),Satellite Office,Taguig City,Y,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78298665?type=standard&ref=search-standalone
Actuarial Analytics Manager,AXA Philippines,Makati City,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78313968?type=standard&ref=search-standalone
Data Quality Analyst,"Sun Life of Canada (Philippines), Inc.",Bonifacio Global City,N,,"['Great Place To Work Certified', 'Competitive Compensation and Benefits', 'Flexible Work Arrangement']",11d ago,2024-08-25,https://www.jobstreet.com.ph/job/78080732?type=standout&ref=search-standalone
IT Data Engineer | Morning Shift | Hybrid/Onsite (Antipolo),INTELEGENCIA BPO LLC CORP.,Antipolo City,Y,"₱60,000 – ₱80,000 per month",,6d ago,2024-08-25,https://www.jobstreet.com.ph/job/78223869?type=standard&ref=search-standalone
Data Science Practitioner,Accenture,Metro Manila,N,,,13d ago,2024-08-25,https://www.jobstreet.com.ph/job/78032475?type=standard&ref=search-standalone
Data Modelling Manager,"JT International (Philippines), Inc.",Bonifacio Global City,N,,"['Investors in People', 'Great career opportunities', 'Competitive compensation']",13d ago,2024-08-25,https://www.jobstreet.com.ph/job/78027037?type=standout&ref=search-standalone
"Consultant, HR Data Analytics",Northern Operating Services Asia Inc.,Taguig City,N,,"['Movement within the organization is encouraged, senior leaders are accessible', 'Committed to assisting the communities we serve']",13d ago,2024-08-25,https://www.jobstreet.com.ph/job/78023406?type=standout&ref=search-standalone
Data Anlyst/DataEngineer,"TELUS International Philippines, Inc.",Pasig City,N,,,11d ago,2024-08-25,https://www.jobstreet.com.ph/job/78096660?type=standout&ref=search-standalone
Business Intelligence Engineer,"INFOR PSSC, INC.",Metro Manila,N,,"['Hybrid work model for provincial and non-provincial hires', 'Attractive remuneration and benefits package (Retirement Savings)', 'Thriving and engaging working environment for learning']",12d ago,2024-08-25,https://www.jobstreet.com.ph/job/78065120?type=standout&ref=search-standalone
Implementation Coordinator - Data Specialist | Permanent WFH | Day 1 HMO,Emapta,Metro Manila,Y,,,2d ago,2024-08-25,https://www.jobstreet.com.ph/job/78339646?type=standard&ref=search-standalone
Data Engineer (PySpark),Accenture,Metro Manila,N,,,3d ago,2024-08-25,https://www.jobstreet.com.ph/job/78312288?type=standard&ref=search-standalone
